Title,URL
"Board of High School and Intermediate Education Uttar Pradesh, Allahabad",https://upmsp.edu.in
Punjab Chief Minister's Relief Fund for COVID-19,https://cmrf.punjab.gov.in
Tamil Nadu Chief Minister's Public Relief Fund for COVID-19,https://ereceipt.tn.gov.in/cmprf/cmprf.html
Tripura Chief Minister's Relief Fund for COVID-19,https://cmrf.tripura.gov.in
Uttar Pradesh Chief Minister's Distress Relief Fund : COVID Care Fund,https://rahat.up.nic.in/upcovidcarefund.aspx
"Social Welfare Department, Puducherry",https://socwelfare.py.gov.in
Survey of India Maps,https://indiamaps.gov.in
"CaneInfo, Sugarcane Breeding Institute (SBI)",https://caneinfo.icar.gov.in
"Skill Development Initiative Scheme (SDIS), Ministry of Skill Development and Entrepreneurship",https://sdis.gov.in
Transmission Corporation of Andhra Pradesh Limited (APTRANSCO),https://www.aptransco.co.in
"Lt. Governor / Chief Minister Relief Fund, Government of NCT of Delhi",https://lgcmrelieffund.delhi.gov.in
Karnataka Chief Minister's Relief Fund for Covid-l9,https://cmrf.karnataka.gov.in/English/index.html
CSIR - Central Drug Research Institute (CDRI),https://cdri.res.in
"U R Rao Satellite Centre (URSC), Bengaluru, ISRO, Department of Space",https://www.ursc.gov.in
Recruitment Portal of Bhabha Atomic Research Centre (BARC),https://recruit.barc.gov.in
"Flood and River Erosion Management Agency of Assam (FREMAA), Government of Assam",https://fremaa.assam.gov.in
"Assam Infrastructure Financing Authority, Government of Assam",https://aifa.assam.gov.in
Assam State Textbook Production and Publication Corporation Ltd.,https://textbookcorporation.assam.gov.in
"Guwahati Metropolitan Development Authority (GMDA), Assam",https://gmda.assam.gov.in
Assam Small Industries Development Corporation,https://asidcltd.assam.gov.in
Haryana State Industrial and Infrastructure Development Corporation Limited (HSIIDC),https://hsiidc.org.in
